{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:47  t-loss1/2:0.7525/0.6422, loss-lb1/2:0.7525/0.6422, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:48  t-loss1/2:0.7217/0.6586, loss-lb1/2:0.7217/0.6586, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:49  t-loss1/2:0.6798/0.6186, loss-lb1/2:0.6798/0.6186, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:50  t-loss1/2:0.7403/0.5929, loss-lb1/2:0.7403/0.5929, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:51  t-loss1/2:0.8374/0.6680, loss-lb1/2:0.8374/0.6680, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:52  t-loss1/2:0.6506/0.5766, loss-lb1/2:0.6506/0.5766, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:53  t-loss1/2:0.7044/0.6279, loss-lb1/2:0.7044/0.6279, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:54  t-loss1/2:0.6513/0.5411, loss-lb1/2:0.6513/0.5411, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:55  t-loss1/2:0.6740/0.5818, loss-lb1/2:0.6740/0.5818, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:56  t-loss1/2:0.7446/0.6849, loss-lb1/2:0.7446/0.6849, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
