{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs2',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:68  t-loss1/2:0.6029/0.5458, loss-lb1/2:0.6029/0.5458, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:69  t-loss1/2:0.4489/0.4053, loss-lb1/2:0.4489/0.4053, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:70  t-loss1/2:0.6687/0.6228, loss-lb1/2:0.6687/0.6228, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:71  t-loss1/2:0.4760/0.5191, loss-lb1/2:0.4760/0.5191, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:72  t-loss1/2:0.5445/0.5613, loss-lb1/2:0.5445/0.5613, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:73  t-loss1/2:0.5814/0.5867, loss-lb1/2:0.5814/0.5867, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:74  t-loss1/2:0.4829/0.4908, loss-lb1/2:0.4829/0.4908, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:75  t-loss1/2:0.4662/0.5165, loss-lb1/2:0.4662/0.5165, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:76  t-loss1/2:0.6171/0.5677, loss-lb1/2:0.6171/0.5677, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:77  t-loss1/2:0.5108/0.5196, loss-lb1/2:0.5108/0.5196, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:78  t-loss1/2:0.4700/0.5173, loss-lb1/2:0.4700/0.5173, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:79  t-loss1/2:0.4403/0.4730, loss-lb1/2:0.4403/0.4730, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:80  t-loss1/2:0.3843/0.4953, loss-lb1/2:0.3843/0.4953, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:81  t-loss1/2:0.4144/0.4974, loss-lb1/2:0.4144/0.4974, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:82  t-loss1/2:0.4725/0.5743, loss-lb1/2:0.4725/0.5743, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:83  t-loss1/2:0.4313/0.5350, loss-lb1/2:0.4313/0.5350, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:84  t-loss1/2:0.4130/0.4183, loss-lb1/2:0.4130/0.4183, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:85  t-loss1/2:0.4288/0.5980, loss-lb1/2:0.4288/0.5980, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:86  t-loss1/2:0.4501/0.4699, loss-lb1/2:0.4501/0.4699, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:87  t-loss1/2:0.5170/0.5005, loss-lb1/2:0.5170/0.5005, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:88  t-loss1/2:0.4866/0.4824, loss-lb1/2:0.4866/0.4824, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:89  t-loss1/2:0.4036/0.4675, loss-lb1/2:0.4036/0.4675, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:90  t-loss1/2:0.4127/0.4401, loss-lb1/2:0.4127/0.4401, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:91  t-loss1/2:0.3963/0.4398, loss-lb1/2:0.3963/0.4398, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:92  t-loss1/2:0.4421/0.4860, loss-lb1/2:0.4421/0.4860, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
